,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,300183.XSHE,2011/4/18,42.39,42.385,3.67,18.9,93.01,300183.XSHE,5.54,5.54,5.24,51.44,64.03,49.79,50.21,51.44,2.35,12.32,-2.25,83.58,0,,111,46.71,93.02,247.12,-29.03,247.12,-29.03,384.23,-17.22,279.19,-24.48,279.19,-24.48,-1
0,300183.XSHE,2011/8/24,32.91,41.8832,3.51,15.2,4.01,300183.XSHE,5.24,5.24,4.92,45.44,65.65,50.28,49.72,45.44,3.17,13.71,-1.95,90.27,0,,124.9,56.61,113.85,34.97,9.94,34.97,9.94,35.8,8.86,38.99,-2.87,38.99,-2.87,-1
0,300183.XSHE,2011/10/18,33.2,45.6083,3.69,15.41,4.22,300183.XSHE,6.44,6.44,6,43.24,62.97,52.42,47.58,43.24,5.36,9.57,-1.36,93.52,0,,105.44,45.28,95.17,143.15,33.35,143.15,33.35,177.49,27.6,198.21,26.89,198.21,26.89,1
0,300183.XSHE,2012/3/29,39.28,65.8744,5.32,18.39,5.93,300183.XSHE,10.46,10.46,9.81,73.1,66.6,26.05,73.95,73.1,3.21,11.74,-22.95,86.86,0,,130.59,87.08,117.76,5.58,1.47,5.58,1.47,81.37,57.72,59.66,71.54,59.66,71.54,-1
0,300183.XSHE,2012/4/16,28.78,28.7813,4.31,15.58,4.9,300183.XSHE,3.78,3.78,3.61,59.33,59.8,51.82,48.18,59.33,2.61,10.46,-2.62,69.04,0,,101,37.52,77.88,18.57,-20.3,18.57,-20.3,13.77,-48.07,36.77,-35.31,36.77,-35.31,1
0,300183.XSHE,2012/7/24,26.48,28.307,4.08,14.78,26.23,300183.XSHE,3.68,3.68,3.5,63.23,64.16,34.36,65.64,63.23,6.36,15.8,-25.18,88.34,0,,95.55,37.24,56.72,-3.2,-10.24,-3.2,-10.24,27.8,22.29,34.68,-4.35,34.68,-4.35,-1
0,300183.XSHE,2012/10/23,20.32,23.0142,3.44,12.1,44.2,300183.XSHE,3.69,3.69,3.5,39.22,63.54,60.65,39.35,39.22,5.1,18.27,-1.19,85.55,0,,99.87,26.76,68.01,19.5,64.62,19.5,64.62,-1.17,-1.32,8.38,2.11,8.38,2.11,-1
0,300183.XSHE,2013/4/19,17.85,20.5565,2.75,10.24,45.75,300183.XSHE,7.28,7.28,6.95,73.57,60.48,40.55,59.45,73.57,4.43,13.87,-18.3,81.29,0,,111.08,88.27,148.49,28.89,9.44,28.89,9.44,3.61,65.35,29.71,105.31,29.71,105.31,1
0,300183.XSHE,2013/4/19,21.62,19.6068,3.33,12.41,55.42,300183.XSHE,3.77,3.77,3.6,54.64,63.26,54.61,45.39,54.64,4.78,20.3,-9.79,72.9,0,99.93,90.9,32.26,71.07,21.62,-24.79,21.62,-24.79,14.58,-42.58,12,-44.15,12,-44.15,1
0,300183.XSHE,2013/8/23,23.35,23.9186,3.9,13.46,52.37,300183.XSHE,3.24,3.13,3.1,44.23,64.15,56.1,43.9,44.23,7.07,24.89,-12.48,85.32,0,96.58,126.31,44.53,101.43,41.37,4.33,41.37,4.33,-5.46,0.91,-1.1,-15.54,-1.1,-15.54,1
0,300183.XSHE,2013/10/25,29.53,30.1826,4.91,15.85,60.79,300183.XSHE,3.52,3.52,3.35,41.54,60.64,59.32,40.68,41.54,5.8,16.09,-4.32,81.7,0,100.02,89.25,23.3,57.28,1.22,17.86,1.22,17.86,4.64,9.22,7.22,10.7,7.22,10.7,-1
0,300183.XSHE,2014/4/25,25.41,26.3405,3.95,13.79,55.33,300183.XSHE,4.47,4.46,4.27,48.15,60.11,61.92,38.08,48.15,12.06,21.08,-11.53,99.35,0,99.84,138.48,56.66,148.78,5.65,14.23,5.65,14.23,-32.32,6.94,-30.85,32.41,-30.85,32.41,1
0,300183.XSHE,2014/4/25,29.71,33.7913,4.5,16.12,64.67,300183.XSHE,2.37,2.32,2.27,43.33,58.64,59.88,40.12,43.33,8.55,23.76,-12.89,81.47,0,97.82,127.36,60.61,151.07,-10.81,-36.51,-10.81,-36.51,-21.16,-33.11,-29.26,-42.86,-29.26,-42.86,1
0,300183.XSHE,2014/8/15,36.61,33.9471,4.64,16.31,48.15,300183.XSHE,3.37,3.29,3.15,39.25,55.23,63.36,36.64,39.25,5.06,18.23,-8.35,86.03,0,97.49,96.73,20.4,55.68,31.29,53.59,31.29,53.59,9.58,40.25,16.51,39.11,17.34,40.1,1
0,300183.XSHE,2014/10/24,51.56,49.6854,6.47,22.28,113.72,300183.XSHE,4.76,4.57,4.42,42.74,53.06,62.22,37.78,42.74,5.46,16.35,-7.41,80.85,0,96.06,101.12,53.71,142.15,48.74,33.52,48.74,33.52,38.14,37.69,53.03,45.39,53.35,44.67,-1
0,300183.XSHE,2015/4/24,45.68,49.6907,6.27,19.85,87.87,300183.XSHE,3.4,3.39,3.21,30.51,58.29,70.22,29.78,30.51,10.4,21.95,-6.09,87.85,0,99.87,94.71,26.88,90.27,35.16,3.8,35.16,3.8,5.68,-18.19,-14.35,-25.89,-15.97,-27.44,-1
0,300183.XSHE,2015/4/24,61.45,64.3626,8.16,26.7,118.21,300183.XSHE,3.29,3.27,2.94,42.18,52.16,63.41,36.59,42.18,6.37,19.73,-10.92,74.89,0,99.42,117.88,40.23,109.94,52.94,-28.15,52.94,-28.15,39.49,-11.71,48.86,-0.69,50.34,2.23,-1
0,300183.XSHE,2015/7/31,47.69,51.7588,6.61,18.26,-725.99,300183.XSHE,2.78,2.72,2.4,27.76,51.8,73.23,26.77,27.76,7.15,20.22,-5.1,82.67,0,97.88,91.6,14.42,53.87,23.71,24.23,23.71,24.23,-9.6,-9.12,-12.49,-18.22,-9.66,-15.82,-1
0,300183.XSHE,2015/10/23,33.9,36.0169,4.6,12.1,-56.61,300183.XSHE,4.17,4.12,3.75,31.95,60.51,67.03,32.97,31.95,7.19,19.53,-2.69,89.28,0,98.79,80.54,9.2,27.91,33.02,43.58,33.02,43.58,16.08,76.82,-0.57,65.2,0.6,61.11,-1
0,300183.XSHE,2016/4/26,46.82,49.8397,5.57,15.37,-19.73,300183.XSHE,3.68,3.4,3.39,32.84,59.12,69.36,31.47,32.84,15.62,16.25,-4.22,72.67,1.98,92.24,104.76,39.7,129.58,14.79,-10.43,14.79,-10.43,21.32,-14.5,23.54,-7.92,24.37,-10.29,1
0,300183.XSHE,2016/4/26,35.1,33.2075,4.18,11.53,-14.79,300183.XSHE,2.54,2.53,2.32,37.92,62.88,61.96,37.43,37.92,7.24,25.09,-6.74,83.94,-1.35,99.59,139.7,22.75,59.8,3.09,-35.47,3.09,-35.47,5.45,-23.26,-7.31,-25.49,-6.9,-23.48,1
0,300183.XSHE,2016/7/28,44.21,43.5212,5.18,14.47,-25.89,300183.XSHE,3.4088,3.195,3.1061,31.6665,63.3945,71.3838,29.2517,31.6665,7.7426,25.3378,-0.4802,78.157,1.7357,93.7296,102.7888,26.2312,91.6656,35.0129,62.6921,35.0129,62.6921,47.5186,27.1418,53.9893,35.8614,49.728,35.3861,-1
0,300183.XSHE,2016/10/27,36.95,39.8753,4.77,12.31,-65.02,300183.XSHE,4.263,4.2387,3.8225,34.3494,64.0579,65.6649,33.6067,34.3494,8.0773,20.1433,-1.5117,85.4368,-1.8126,99.4313,72.4615,5.9087,17.2089,10.3815,17.3839,10.3815,17.3839,12.5099,34.8599,18.6882,27.3292,18.4481,27.4542,-1
0,300183.XSHE,2017/4/26,35.74,40.5979,4.66,12.17,50.6,300183.XSHE,4.8265,4.4496,4.2804,39.2065,63.8817,66.5882,34.9411,39.2065,10.4103,16.7949,-2.4023,84.3191,3.8594,92.1904,122.194,46.3951,138.8582,26.8816,2.9602,26.8816,2.9602,40.8619,7.0484,51.4825,17.5191,56.5122,18.5332,-1
0,300183.XSHE,2017/4/26,29.69,29.6932,4.4,10.77,47.86,300183.XSHE,1.8685,1.7415,1.689,34.5707,60.446,69.682,31.3114,34.5707,9.5027,29.9771,-7.0472,72.3283,2.3699,93.2019,188.4576,45.3664,149.6353,-9.3131,-53.8789,-9.3131,-53.8789,-24.1393,-58.67,-17.3234,-59.3323,-18.1168,-59.9662,-1
0,300183.XSHE,2017/7/31,26.8346,26.0409,3.6058,9.5718,140.8264,300183.XSHE,3.2125,3.0097,2.891,31.5405,59.3771,77.4462,32.4705,31.5405,8.2306,24.4166,-1.8531,73.6128,-0.5727,93.6849,90.2053,-2.9858,-13.2386,6.5445,91.1406,6.5445,91.1406,18.2682,98.2163,6.1205,74.3865,6.6713,76.3709,-1
0,300184.XSHE,2011/4/27,86.79,57.5667,3.91,9.98,142.11,300184.XSHE,2.1,2.1,1.64,11.25,26.28,86.74,13.26,11.25,3.89,8.9,-0.32,100,0,,102.41,-33.31,-251.31,4.94,-12.49,4.94,-12.49,18.62,-39.02,19.95,-39.09,19.95,-39.09,-1
0,300184.XSHE,2011/8/16,39,40.2877,2.68,5.07,3.31,300184.XSHE,3.53,3.53,3.01,13.52,24.06,84.86,15.14,13.52,3.26,6.01,-0.58,99.52,0,,100.8,-5.4,-35.68,15,42.36,15,42.36,19.21,62.61,28.05,71.05,28.05,71.05,-1
0,300184.XSHE,2011/10/22,34.62,38.3477,2.51,4.63,4.36,300184.XSHE,2.25,2.25,1.94,10.16,23.04,87.91,12.09,10.16,4.93,7.84,-2.52,100,0,,97.87,-59.45,-491.57,9.59,-14.33,9.59,-14.33,-9.32,-31.58,-9.4,-35.63,-9.4,-35.63,-1
0,300184.XSHE,2012/4/21,32.35,35.0994,2.3,4.15,4.51,300184.XSHE,0.62,0.62,0.52,3.11,20.26,98.26,1.74,3.11,6.26,14.21,-2.06,41.54,0,,119.04,53.61,3089.49,-4.47,-10.48,-4.47,-10.48,-91.29,-87.16,-81.61,-72.57,-81.61,-72.57,-1
0,300184.XSHE,2012/4/25,27.03,35.8337,1.92,3.46,3.77,300184.XSHE,0.69,0.69,0.65,5.04,16.59,93.94,6.06,5.04,6.11,7.56,-3.26,100,0,,110.88,-3.41,-56.32,19.42,9.39,19.42,9.39,-45.39,282.13,-46.53,77.07,-46.53,77.07,-1
0,300184.XSHE,2012/8/16,37.2,32.9946,1.75,3.1,-7.59,300184.XSHE,1.1,1.1,1.02,6.31,17.12,93.16,6.84,6.31,4.67,6.38,-1,100,0,,101.01,11.75,171.77,4.66,24.76,4.66,24.76,-52.71,40.81,-51.12,56.35,-51.12,56.35,-1
0,300184.XSHE,2012/10/23,44.15,29.7696,1.63,2.76,-13.31,300184.XSHE,0.96,0.96,0.88,5.82,17.37,93.05,6.95,5.82,5.27,6.43,-1.33,100,0,,107.44,4.04,58.09,15.8,-5.22,15.8,-5.22,-33.45,-3.72,-33.66,-12.64,-33.66,-12.64,-1
0,300184.XSHE,2013/3/22,50.25,29.3561,1.59,2.62,-47.98,300184.XSHE,0.66,0.66,0.6,3.67,17.64,94.8,6.47,3.67,5.32,9.64,-2.98,48.14,11.79,,113.27,-8.13,-156.44,41.65,9.5,41.65,9.5,428.46,2,67.04,-30.93,67.04,-30.93,1
0,300184.XSHE,2013/4/23,47.78,47.7805,1.64,2.48,-9.25,300184.XSHE,1.25,0.59,1.13,7.8,14.59,95.61,4.39,7.8,6.84,5.41,-2.44,44.22,0,46.79,105.04,-31.81,-724.96,15.69,-10.65,15.69,-10.65,-16.24,-39.44,79.25,90,79.25,90,1
0,300184.XSHE,2013/8/17,40.09,46.6056,1.58,2.34,-6.66,300184.XSHE,1.29,1.29,1.16,7.27,20.57,92.75,7.75,7.27,8.14,6.18,-1.07,93.58,6.42,100,106.06,-1.04,-14.27,-0.46,7.34,-0.46,7.34,12.77,89.59,14.72,0.07,14.72,0.07,1
0,300184.XSHE,2013/10/26,50.82,61.488,2.18,3.09,-7.77,300184.XSHE,1.01,1.13,0.9,4.68,16.63,93.86,6.14,4.68,6.18,5.02,-0.96,110.33,0,112.28,107.75,7.47,121.75,28.12,21.99,28.12,21.99,13.14,-3.4,3.06,-21.52,3.06,-21.52,1
0,300184.XSHE,2014/3/6,68.09,82.9631,2.93,3.91,-10.82,300184.XSHE,0.32,0.29,0.28,1.51,14.18,99.05,0.95,1.51,9.01,4.53,-1.05,100,0,90.28,109.43,-0.23,-24.37,14.47,-2.16,14.47,-2.16,-83.28,-84.93,-52.86,-68.41,-52.86,-68.41,-1
0,300184.XSHE,2014/4/16,102.05,102.0531,3.99,5.18,-16.35,300184.XSHE,0.7,0.7,0.62,3.38,15.05,96.01,3.99,3.38,6.04,4.94,-0.56,100,0,,99.51,7.18,180.11,25.78,-1.82,25.78,-1.82,14.34,314.26,-45.59,119.32,-45.59,119.32,-1
0,300184.XSHE,2014/7/31,144.63,122.9023,4.75,5.91,-23.52,300184.XSHE,1.09,1.09,0.97,4.33,15.34,94.65,5.35,4.33,6.06,3.75,0.04,99.16,0,,104.97,-10.29,-192.34,42.66,21.75,42.66,21.75,-1.55,63.24,-15.07,56.2,-15.07,56.2,1
0,300184.XSHE,2014/10/25,216.53,173.2403,5.03,7.62,-26.17,300184.XSHE,1.14,1.12,1.06,4.11,15.27,95.47,4.53,4.11,4.78,4.68,0.73,97.61,0,98.03,101.8,9.86,217.66,84.78,58.01,84.78,58.01,36.44,33.88,62.18,49.86,31.62,21.62,-1
0,300184.XSHE,2015/3/13,139.04,122.6168,3.52,4.47,-27.3,300184.XSHE,1.29,1.21,1.5,4.14,14.35,95.42,4.45,4.14,3.32,5.21,0.82,97.91,-2.77,94.41,107.11,5.56,121.37,174.83,45.51,174.83,45.51,1193.5,42.87,652.68,46.61,373.36,13.62,1
0,300184.XSHE,2015/4/25,158.15,158.1545,5.15,5.09,482.44,300184.XSHE,1.57,0.79,1.37,6.54,17.46,95.52,4.14,6.54,4.82,6.01,1.38,58.28,-4.39,50.15,106.16,-20.16,-450.17,107.64,-25.82,107.64,-25.82,115.51,-30.98,302.11,17.17,212.86,44.95,1
0,300184.XSHE,2015/8/1,347.24,458.8958,14.78,12.79,-333.95,300184.XSHE,1.2,1.2,1.03,3.75,14.02,95.39,4.45,3.75,4.41,3.76,0.78,102.78,-3.52,99.98,92.28,0.85,18.55,127.03,33.12,127.03,33.12,88.79,43,96.36,-23.73,53.79,-23.22,-1
0,300184.XSHE,2015/10/26,304.85,441.5679,14.22,10.32,255.49,300184.XSHE,1.46,1.46,0.97,3.58,16.24,95.52,4.16,3.58,4.37,4.58,1.99,107.04,-7.58,100,87.13,-20.4,-455.31,49.15,3.8,49.15,3.8,37.03,-2.82,30.06,-0.74,60.26,26.73,-1
0,300184.XSHE,2016/3/19,206.21,334.3435,9.92,7.11,-479.26,300184.XSHE,1.67,1.63,1.12,3.35,14.23,96.45,3.55,3.35,4.08,5,1.24,96.19,0,97.89,97.73,2.45,68.96,25.66,22.59,25.66,22.59,0.14,4.41,1.75,14.7,61.8,14.7,-1
0,300184.XSHE,2016/4/23,114.43,114.4276,6.16,4.15,-76.35,300184.XSHE,1.1,1.08,0.73,2.67,11.78,97.4,2.6,2.67,3.1,4.19,1,91.84,0,98.29,93.31,-16.05,-616.28,50.98,-10.88,50.98,-10.88,-5,-34.52,-38.25,-28.9,-20.64,-28.9,-1
0,300184.XSHE,2016/7/30,120.9,114.4276,6.1,3.79,-237.19,300184.XSHE,2.0466,1.8827,1.2859,3.9631,12.4928,95.8329,4.3658,3.9631,2.9276,3.1997,1.6147,91.8332,,91.9948,101.1546,0.6226,14.9396,44.8101,27.6777,44.8101,27.6777,42.1578,113.9864,53.2132,89.263,95.6146,89.263,1
0,300184.XSHE,2016/10/29,150.52,170.1372,8.87,5.15,355.56,300184.XSHE,1.5774,1.5484,1.0659,3.7374,11.8923,95.7963,4.2067,3.7374,2.9987,3.0631,1.0961,94.9342,0.0667,98.1631,98.5937,3.5517,84.4903,45.8322,4.5366,45.8322,4.5366,47.3478,0.726,52.1687,-1.4151,52.1687,-1.4151,-1
0,300184.XSHE,2017/2/18,128.93,163.5369,5.57,4.49,17.53,300184.XSHE,0.9281,0.7306,0.6834,1.9693,10.7351,97.9638,2.0921,1.9693,3.0038,3.6257,0.676,72.9544,2.0038,78.7224,119.6123,5.4709,268.6843,76.3442,48.2444,76.3442,48.2444,4.0499,-26.2737,3.6236,-21.8894,3.6236,-21.8894,-1
0,300184.XSHE,2017/4/19,155.07,155.0725,5.63,4.61,95.26,300184.XSHE,1.547,1.5394,1.0082,4.2703,9.7315,94.9949,5.031,4.2703,1.6982,2.0731,0.621,97.3671,0.5037,99.508,97.2496,-20.0958,-401.5065,233.1019,68.3509,233.1019,68.3509,543.3353,304.8437,432.0496,265.0615,432.0496,265.0615,-1
0,300184.XSHE,2017/7/27,102.0181,172.928,1.572,3.628,10.1361,300184.XSHE,2.8308,2.4478,1.7747,4.2963,6.3277,95.4623,5.3811,4.2963,1.0907,0.9026,0.0712,84.5097,0.415,86.4701,85.3495,2.3305,51.3579,623.6666,177.3808,623.6666,177.3808,791.9599,196.6839,684.5148,179.0711,684.5148,179.0711,-1
0,300185.XSHE,2011/4/20,47.28,41.3917,2.37,7.15,-99.21,300185.XSHE,2.58,2.58,1.46,18.42,32.08,80.27,19.52,18.42,0.88,5.24,3.16,87.96,-0.91,,85.32,-27.37,-138.71,22.46,0.61,22.46,0.61,35.27,63.48,30.39,12.9,30.39,12.9,-1
0,300185.XSHE,2011/8/25,30.56,32.721,1.85,5.32,3.04,300185.XSHE,1.58,1.58,0.91,12.26,24.45,90.89,10.99,12.26,1.34,10.21,1.18,62.46,12.91,,55.98,-25.32,-277.95,3.73,-7.61,3.73,-7.61,-19.63,-47.98,2.27,-38.49,2.27,-38.49,-1
0,300185.XSHE,2011/10/24,26.86,28.8714,1.62,4.65,3.14,300185.XSHE,1.29,1.29,0.74,10.74,20.56,91.9,8.46,10.74,1.95,6.92,1.81,63.2,2.84,,124.57,-17.95,-221.6,2.29,-5.63,2.29,-5.63,-71.86,-27.36,-59.95,-17.31,-59.95,-17.31,-1
0,300185.XSHE,2012/4/6,27.32,23.0598,1.29,3.7,2.62,300185.XSHE,2.61,2.61,1.4,17.41,26.94,88.54,10.64,17.41,2.04,12.03,1.96,55.53,-3.98,,0.22,-0.8,-6.96,10.69,26.19,10.69,26.19,-1.96,58.7,57.81,104.48,57.37,103.91,-1
0,300185.XSHE,2012/4/24,31.06,27.349,1.45,4.2,2.98,300185.XSHE,1.75,1.75,1.04,18.51,20.2,92.45,8.68,18.51,1.99,6.96,2.32,34.29,5.11,,45.81,-4.27,-56.54,6.2,-3.47,6.2,-3.47,-52.8,-21.28,6.72,2.62,5.45,1.69,-1
0,300185.XSHE,2012/8/16,25.01,25.4387,1.32,3.74,-2.54,300185.XSHE,1.12,1.12,0.65,11.12,21.42,89.04,11.64,11.12,2.05,4.63,2.94,81.9,5.09,,58.26,-1.83,-16.74,23.45,7.4,23.45,7.4,30.69,44.01,11.98,-35.46,8.8,-36.54,-1
0,300185.XSHE,2012/10/24,22.76,23.5381,1.25,3.28,-2.91,300185.XSHE,0.68,0.68,0.41,7.77,21.13,92.15,7.88,7.77,2.07,6.6,5.14,84.02,0.25,,69.56,7.43,94.6,18.44,-9.47,18.44,-9.47,10.24,-38.72,-14.35,-36.76,-19.87,-39.1,-1
0,300185.XSHE,2013/4/19,21.44,21.4913,1.13,2.89,-3.94,300185.XSHE,0.22,0.22,0.14,2.43,25.08,99.65,1.04,2.43,2.83,13.18,4.84,12.37,24.26,,76.1,19.95,5662.9502,3.19,9.95,3.19,9.95,-89.88,-85.44,-85.62,-65.66,-87.01,-66.94,-1
0,300185.XSHE,2013/4/22,21.05,29.4324,1.11,2.83,-3.87,300185.XSHE,1.05,0.41,0.57,10.08,18.64,95.02,5.57,10.08,2.21,5.91,4.44,41.56,4.95,39.38,52.37,-36.93,-742.32,8.85,1.82,8.85,1.82,-30.16,443.37,-40.71,323.04,-39.74,371.63,-1
0,300185.XSHE,2013/8/21,29.69,24.1985,0.9,2.26,23.68,300185.XSHE,0.15,-0.1,0.08,1.43,16.83,101.97,-1.55,1.43,3.06,7.97,6.06,-93.45,20.03,-63.37,41.75,12.43,-631.88,2.67,1.3,2.67,1.3,-113.64,-128.13,-86.82,-85.65,-86.59,-85.88,-1
0,300185.XSHE,2013/10/23,48.73,27.2573,1.04,2.53,35.67,300185.XSHE,0.35,0.21,0.22,3.14,19.47,97.71,2.45,3.14,3.05,8.51,5.01,61.93,4.43,60.94,83.74,-2.32,-101.21,37.2,20.98,37.2,20.98,-57.29,291.88,-44.62,165.66,-49.02,131.56,1
0,300185.XSHE,2014/4/23,67.81,31.9474,1.22,2.73,-5.91,300185.XSHE,0.12,0.01,0.08,1.08,21.87,100.65,0.2,1.08,2.74,11.79,6.8,-51.79,68.03,5.81,25.57,2.43,-374.34,28.95,3.34,28.95,3.34,-74.82,-91.41,-42.75,-64.5,-47.82,-66.16,1
0,300185.XSHE,2014/4/23,60.45,64.3297,1.08,2.44,-5.27,300185.XSHE,0.21,0.11,0.07,1.04,17.72,100.95,0.59,1.04,2.36,8.35,6.15,-61.61,99.79,53.11,59.68,-9.79,1029.84,18.38,-6.53,18.38,-6.53,-87.47,170.31,-87.74,-9.45,-80.62,75.2,1
0,300185.XSHE,2014/8/20,134.27,65.7114,1.11,2.24,-11.12,300185.XSHE,1.33,0.86,0.67,7.94,20.45,94.77,8.59,7.94,2.16,6.81,5.22,55.97,35.95,65.09,39.43,-9.62,-183.81,51.52,29.66,51.52,29.66,942.09,1790.38,742.62,886.64,780.85,541.6,1
0,300185.XSHE,2014/10/22,87.77,104.2478,1.74,3.2,-12.71,300185.XSHE,0.64,0.5,0.33,4.55,21.55,95.72,4.52,4.55,2.82,7.75,7.17,75.03,4.37,79.04,59.18,-21.8,-510,9.6,-12.49,9.6,-12.49,102.24,-53.92,58.91,-49.9,83.14,-51.86,-1
0,300185.XSHE,2015/4/15,64.13,87.2058,1.46,2.62,35.76,300185.XSHE,0.14,0.02,0.04,0.44,22.2,97.55,1.5,0.44,2.72,9.56,6.42,99,-38.25,13.47,86.72,44.24,1808.45,21.9,14.94,21.9,14.94,797.96,-61.87,-49.95,-88.82,23.08,-77.26,1
0,300185.XSHE,2015/4/23,89.75,88.6996,2.03,3.66,50.06,300185.XSHE,0.25,0.16,0.14,1.89,18.57,98.32,1.72,1.89,2.04,6,7.69,68.9,1.46,63.9,62.07,-9.17,-544.65,21.85,-6.57,21.85,-6.57,255.63,7.06,120.47,298.88,23.51,75.81,1
0,300185.XSHE,2015/8/26,120.86,123.3984,2.84,4.63,20.66,300185.XSHE,1.39,1.29,0.66,7.84,23.23,93.23,8.76,7.84,1.86,5.89,7.71,71.85,21.11,92.46,59.66,4.82,71.12,8.71,15.68,8.71,15.68,10.85,489.22,7.35,380.42,5.79,449.54,-1
0,300185.XSHE,2015/10/23,77.16,81.3358,1.87,2.98,19.69,300185.XSHE,0.78,0.7,0.38,4.74,22.23,95.42,4.94,4.74,2.02,8.04,7.14,81.84,6.5,89.71,77.03,8.44,184.41,17.84,-5.14,17.84,-5.14,28.74,-46.48,22.84,-42.67,24.34,-43.41,-1
0,300185.XSHE,2016/4/22,91.45,102.5345,2.34,3.62,49.22,300185.XSHE,1,0.91,0.5,5.94,27.51,95.02,5.36,5.94,2.43,8.9,7.45,84.21,6.33,91.47,79.99,22.1,443.49,9.76,7.06,9.76,7.06,291.82,16.06,1374.55,34.23,596.94,27.48,1
0,300185.XSHE,2016/4/27,73.94,55.4359,1.89,2.92,39.8,300185.XSHE,0.34,0.22,0.16,2.18,20.19,97.78,2.22,2.18,2.11,6.53,8.07,71.62,0,66.62,58.24,13.65,613.69,10.41,-6.02,10.41,-6.02,42.73,-61,27.56,-65.49,34.85,-65.98,1
0,300185.XSHE,2016/8/3,78.53,80.5473,2.71,4.05,-50.84,300185.XSHE,1.6535,1.4917,1.0003,14.866,34.2036,83.9177,16.5113,14.866,2.5131,8.1339,6.7497,89.1105,,90.217,97.7051,5.313,33.0363,-4.7644,-0.2159,-4.7644,-0.2159,79.4957,640.9765,80.5084,579.8124,45.5323,493.048,-1
0,300185.XSHE,2016/10/21,71.19,86.1459,2.07,4.39,7.45,300185.XSHE,0.6691,0.5992,0.4019,6.5526,25.4169,92.6576,7.3424,6.5526,2.5557,7.5248,6.4745,90.3037,0.0006,89.5597,76.9128,10.1939,138.8367,-2.1754,-2.5637,-2.1754,-2.5637,45.3169,-56.671,35.2318,-57.0524,20.2368,-53.2494,-1
0,300185.XSHE,2017/4/26,66.62,83.7078,2.05,4.29,426.27,300185.XSHE,1.0069,0.9354,0.5941,7.8141,26.2878,90.9232,9.0767,7.8141,2.6264,5.4742,4.2707,93.3026,-0.0005,92.8928,76.5149,5.4106,59.6096,11.8223,22.3776,11.8223,22.3776,89.4214,51.2842,47.029,45.9381,41.578,50.1063,-1
0,300185.XSHE,2017/4/26,58.64,58.6446,2,4.05,415.23,300185.XSHE,0.3304,0.2526,0.1673,2.43,19.0091,98.0999,1.9001,2.43,2.633,6.2114,5.8235,68.2096,0.0017,76.4737,67.4227,7.0648,371.8124,7.5623,-9.5983,7.5623,-9.5983,-8.0799,-81.0751,19.7858,-71.8869,37.8327,-66.881,-1
0,300187.XSHE,2011/4/26,89.83,76.0349,4.26,12.48,-1286.0601,300187.XSHE,2.35,2.35,1.62,11.02,26.34,87.81,11.93,11.02,3.59,8.37,0.3,93.99,-2.02,,65.06,-7.39,-60.62,20.68,22.06,20.68,22.06,-10.79,5.09,-5.49,9.53,-5.49,9.53,1
0,300187.XSHE,2011/8/25,88.39,87.1346,4.95,11.95,6.02,300187.XSHE,0.54,0.54,0.36,3.14,14.53,98.53,1.03,3.14,4.32,12.91,-5.21,39.65,-11.94,,82.78,-48.54,-3295.0901,39.34,-20.72,39.34,-20.72,-89.53,-93.16,-63.94,-77.43,-63.94,-77.43,-1
0,300187.XSHE,2011/10/24,84.69,75.2192,4.19,9.66,6.29,300187.XSHE,3.15,3.15,2.26,16.25,30.58,81.09,18.91,16.25,4.82,8.42,-3.82,100,0,,42,-52.49,-277.62,8.13,23.84,8.13,23.84,8.1,2173.74,-3.72,541.13,-10.24,497.7,-1
0,300187.XSHE,2012/4/24,89.29,75.9549,4.24,9.55,7.63,300187.XSHE,2.1,2.1,1.48,11.87,17.5,86.42,13.58,11.87,1.43,5.73,-5.66,99.17,0,,107.16,105.66,778.02,15.37,-3.72,15.37,-3.72,13.1,-30.85,11.44,-29.68,-0.79,-32.85,1
0,300187.XSHE,2012/4/24,64.04,64.17,3,6.85,5.47,300187.XSHE,2.66,2.66,1.92,19.2,34.02,75.35,24.65,19.2,3.04,8.08,-3.77,99.62,0,,70.84,-13.32,-54.05,15.09,21.76,15.09,21.76,137.83,120.99,100.47,97.03,100.47,121.31,1
0,300187.XSHE,2012/8/17,72.57,93.5232,4.26,9.27,-28.41,300187.XSHE,1.65,1.65,1.16,9.17,21.49,88.55,11.45,9.17,3.93,6.53,-2.14,99.65,0,,73.09,7.49,65.44,88.64,29.94,88.64,29.94,1997.6899,-39.63,451.06,-37.96,451.06,-37.96,-1
